Date,kospi_close,usdkrw_close,kospi_return,usdkrw_return,forward_return_1d,forward_return_5d,forward_return_20d,is_fx_spike,fx_spike_threshold
2010-01-05,1690.6199951171875,1141.300048828125,-0.003254459822642719,0.00785943502488684,0.008695006100916336,0.004743833359603711,-0.056079980597216084,True,0.007452505141434228
2010-01-21,1722.010009765625,1142.0999755859375,0.004450591386437663,0.008744060096289141,-0.02186981142160327,-0.04621341084162378,-0.0743956101445653,True,0.007452505141434228
2010-01-22,1684.3499755859375,1154.199951171875,-0.02186981142160327,0.010594497718756868,-0.008400881419634909,-0.04863592665562411,-0.03398937324773277,True,0.007452505141434228
2010-01-26,1637.3399658203125,1159.5999755859375,-0.01967428230883772,0.025468628859415476,-0.007243447053844165,-0.025364254274313658,-0.014969407867196027,True,0.007452505141434228
2010-02-05,1567.1199951171875,1162.9000244140625,-0.03049952827100244,0.013862270631266327,-0.009144134526607117,0.016935550018628565,0.059797565744474035,True,0.007452505141434228
2010-02-08,1552.7900390625,1173.4000244140625,-0.009144134526607117,0.009029151070222508,0.011398805200065087,0.03107954620494735,0.0704859951561485,True,0.007452505141434228
2010-04-05,1724.989990234375,1132.199951171875,0.000870327073843935,0.025822235445185582,0.0006376707065922638,-0.008515957477674418,-0.002191334047313198,True,0.007452505141434228
2010-04-27,1749.550048828125,1114.4000244140625,-0.0015123287396382468,0.015213695896004076,-0.008939449693887491,-0.017604554295977626,-0.08119233223609246,True,0.007452505141434228
2010-05-06,1684.7099609375,1144.9000244140625,-0.019805113636363614,0.02186718981268565,-0.022086864683101615,0.005858572303861109,-0.02774364212126179,True,0.007452505141434228
2010-05-14,1695.6300048828125,1132.4000244140625,0.0006196513917051671,0.021192171956545325,-0.026019824484196152,-0.05349041412966937,-0.003302592882770128,True,0.007452505141434228
2010-05-18,1643.239990234375,1162.0999755859375,-0.005007550352312817,0.035462821907003006,-0.00800858928573811,-0.03719480750250603,0.0393612948171449,True,0.007452505141434228
2010-05-20,1600.1800537109375,1182.5999755859375,-0.018342598614682237,0.05513911854521125,0.0029684159535574572,0.014123395385117199,0.08717768958342464,True,0.007452505141434228
2010-05-24,1604.9300537109375,1193.5,0.0029684159535574572,0.009217000371289474,-0.027477893852309143,0.022630236255519742,0.07885074272564241,True,0.007452505141434228
2010-05-25,1560.8299560546875,1243.5999755859375,-0.027477893852309143,0.041977357005393845,0.01364020403370203,0.04457248407458003,0.10570657591133137,True,0.007452505141434228
2010-05-26,1582.1199951171875,1257.4000244140625,0.01364020403370203,0.011096855177745502,0.016041769879112433,0.05038806850881117,0.09970798705967643,True,0.007452505141434228
2010-06-01,1630.4000244140625,1218.5,-0.006610800052361032,0.015416666666666634,0.01928357515668533,0.01031645365382472,0.04164009668292046,True,0.007452505141434228
2010-06-07,1637.969970703125,1237.800048828125,-0.01571994621990469,0.028500248299231368,0.00824802041995043,0.03213123917053262,0.02283315633558769,True,0.007452505141434228
2010-06-09,1647.219970703125,1252.4000244140625,-0.00257951038826143,0.013842770913965019,0.002719722045888995,0.035277610996154785,0.017259415388706012,True,0.007452505141434228
2010-06-24,1739.8699951171875,1190.300048828125,0.008141086130297737,0.010355719798839313,-0.005764815374150634,-0.03082414492652963,-0.002494419601747455,True,0.007452505141434228
2010-06-25,1729.8399658203125,1210.300048828125,-0.005764815374150634,0.016802486078775214,0.0012660497617327238,-0.03354068623552475,0.01631370145853639,True,0.007452505141434228
2010-06-29,1707.760009765625,1216.5999755859375,-0.01401247040797704,0.007953583749741089,-0.005545258495908145,-0.013362573329320893,0.03545583014116538,True,0.007452505141434228
2010-06-30,1698.2900390625,1227.199951171875,-0.005545258495908145,0.008712786288551655,-0.007095400992151446,-0.013331064852111663,0.044268016599877225,True,0.007452505141434228
2010-07-13,1735.0799560546875,1211.9000244140625,0.0005939316614642642,0.008655867177746579,0.013215560257566983,0.0009740550979595586,0.026540591785081835,True,0.007452505141434228
2010-07-15,1751.2900390625,1198.199951171875,-0.003822487167761235,0.018444497383659053,-0.007331788341295331,-0.008999086053193994,-0.016867588122817967,True,0.007452505141434228
2010-07-19,1731.949951171875,1215.4000244140625,-0.003738962974239479,0.011484727953157359,0.0027830298191431346,0.02143248717555113,0.006559143013450619,True,0.007452505141434228
2010-08-12,1721.75,1186.300048828125,-0.020725827482043435,0.02293705163078652,0.014223894429722606,0.03362277604091046,0.03636415585977204,True,0.007452505141434228
2010-08-25,1734.7900390625,1195.4000244140625,-0.014620591416242501,0.009884323498200898,-0.002899503215728183,0.017235458856974084,0.07265427755182463,True,0.007452505141434228
2010-10-13,1876.1500244140625,1124.0,0.004341440858854684,0.02163247580839678,0.01258427366912529,-0.003043510877865807,0.048876662302373086,True,0.007452505141434228
2010-10-20,1870.43994140625,1133.800048828125,0.007063939168586053,0.01259274651346809,0.0022721927103441786,0.020904225145477406,0.01425870104402338,True,0.007452505141434228
2010-10-22,1897.31005859375,1132.5999755859375,0.012066057798620244,0.008009968134172096,0.009697888998378978,-0.007568666679877545,0.023006204044531575,True,0.007452505141434228
2010-10-28,1907.8699951171875,1132.4000244140625,-0.0008745791715016882,0.008280695423640294,-0.013061709660034726,0.018151134496292354,0.010383337776918689,True,0.007452505141434228
2010-11-09,1947.4599609375,1119.699951171875,0.002599825304107517,0.013119797901389063,0.010470055897129571,-0.024816918973482593,0.007733180088847602,True,0.007452505141434228
2010-11-12,1913.1199951171875,1114.0,-0.0008408419818904944,0.007597706765153145,0.0003607005720098755,0.014552127358120615,0.03816802904032013,True,0.007452505141434228
2010-11-15,1913.81005859375,1126.5999755859375,0.0003607005720098755,0.011310570543929588,-0.007670590738625527,0.01595242280678355,0.04325398273190628,True,0.007452505141434228
2010-11-16,1899.1300048828125,1138.0999755859375,-0.007670590738625527,0.01020770481911204,-0.0010636552137327504,0.015696627638336347,0.05787915712073399,True,0.007452505141434228
2010-11-18,1927.8599853515625,1144.0,0.01620886518833098,0.010689968482155532,0.006795086617013224,-9.333231769537154e-05,0.04221261165290069,True,0.007452505141434228
2010-11-24,1925.97998046875,1163.4000244140625,-0.0015345013465489776,0.03138300036707675,0.0008827055625852953,0.0017341643496728842,0.05821971464912212,True,0.007452505141434228
2010-11-29,1895.5400390625,1154.9000244140625,-0.0032916235171422947,0.012182317628451012,0.004795449124255002,0.030650882803126,0.06681468063654772,True,0.007452505141434228
2010-12-13,1996.5899658203125,1145.9000244140625,0.005261437307945593,0.008359732308962586,0.006240681973322948,0.011865262213130112,0.04594338552702015,True,0.007452505141434228
2010-12-16,2009.239990234375,1162.0,-0.00408429838915203,0.018137168392421854,0.008490801833861639,0.014079970137962361,0.04923748886218671,True,0.007452505141434228
2010-12-21,2037.0899658203125,1154.5999755859375,0.008320597283381526,0.010148710048939247,0.0005007238503771383,-0.0018506887739402345,0.03858444001234185,True,0.007452505141434228
2010-12-28,2033.3199462890625,1144.0999755859375,0.005503936427985856,0.016525966757829913,0.0050016938868244765,0.024211685243589187,0.037937961897842376,True,0.007452505141434228
2011-01-18,2096.47998046875,1115.4000244140625,-0.001604932271718651,0.021990103961088803,0.009162959396924464,-0.004679299914686852,-0.03975233085778318,True,0.007452505141434228
2011-01-24,2082.159912109375,1114.0999755859375,0.00591326751582133,0.012634089284640382,0.0021660246839811936,-0.005969729591053685,-0.06353013832283116,True,0.007452505141434228
2011-02-11,1977.18994140625,1122.800048828125,-0.01558877699464778,0.01702902973562037,0.018915746854074156,0.018182407511449616,-0.003014359325164806,True,0.007452505141434228
2011-02-22,1969.9200439453125,1117.4000244140625,-0.01764324740503953,0.009303630254958284,-0.004208312458152785,-0.021158246416672633,0.021452652302063724,True,0.007452505141434228
2011-02-23,1961.6300048828125,1126.5,-0.004208312458152785,0.008143883467972346,-0.00598991653408254,0.004603329513923615,0.038309989257404364,True,0.007452505141434228
2011-03-11,1955.5400390625,1125.0,-0.01314098727766344,0.008245161112456767,0.00802332915350168,0.013085881807145539,0.08817509649318622,True,0.007452505141434228
2011-03-16,1957.969970703125,1136.199951171875,0.017698202617603354,0.008968986595246253,0.0005414069723292947,0.027686881729011015,0.08373466070728308,True,0.007452505141434228
2011-05-06,2147.449951171875,1083.699951171875,-0.015220276176370562,0.009313588949208418,-0.003855749603084546,-0.02014948916860082,-0.022231014142296113,True,0.007452505141434228
2011-05-09,2139.169921875,1095.5,-0.003855749603084546,0.010888667859922707,0.012836736650368996,-0.01718424019977083,-0.026094151590268955,True,0.007452505141434228
2011-05-19,2095.510009765625,1087.800048828125,-0.018854947128851718,0.02361917644634426,0.007630595969409626,-0.0017180054685840274,-0.030341041444988726,True,0.007452505141434228
2011-05-24,2061.760009765625,1095.199951171875,0.002943045927240595,0.007543653331991695,-0.012557239700939138,0.03914614725051102,0.001037896053851739,True,0.007452505141434228
2011-05-26,2091.909912109375,1102.199951171875,0.02752627482432235,0.008324925248543336,0.00398204438765748,0.01065535324129896,-0.0005257652393434453,True,0.007452505141434228
2011-06-02,2114.199951171875,1082.800048828125,-0.012674370069578722,0.00875724259387245,-0.0003452750381275349,-0.031941116633330546,0.0054583479940502055,True,0.007452505141434228
2011-06-14,2076.830078125,1081.199951171875,0.013710909156125606,0.009241017355109182,0.0046705559949480335,-0.01379995241395715,0.015841403054722925,True,0.007452505141434228
2011-07-13,2129.639892578125,1067.800048828125,0.009437184992247882,0.01107856596218193,0.00020199461080205872,0.011884665892086588,-0.15185661363257275,True,0.007452505141434228
2011-07-26,2168.699951171875,1052.0999755859375,0.00847251351726297,0.019180398935648046,0.002586852745048329,-0.021870213818650175,-0.19086085267412622,True,0.007452505141434228
2011-08-03,2066.260009765625,1056.4000244140625,-0.02593258249026731,0.009170782516378928,-0.023128763484088766,-0.12584090012986504,-0.08980479596795665,True,0.007452505141434228
2011-08-05,1943.75,1067.4000244140625,-0.037018123523084534,0.0099347145022739,-0.03822510550643088,-0.07739675442122185,-0.08124503868569133,True,0.007452505141434228
2011-08-09,1801.3499755859375,1087.699951171875,-0.03642781425801134,0.029531425624112595,0.0027146388623604523,0.050695350485499446,0.017825511858748033,True,0.007452505141434228
2011-08-17,1892.6700439453125,1069.199951171875,0.006809007464011918,0.020423650836515872,-0.016954929885048764,-0.07285475621572302,-0.027775611775305298,True,0.007452505141434228
2011-08-22,1710.699951171875,1089.199951171875,-0.019588770354000973,0.01245575547086708,0.03856906788000103,0.06944528685275508,0.08393060280772424,True,0.007452505141434228
2011-09-09,1812.9300537109375,1078.5,-0.01825475494416695,0.009925999947189457,-0.03517511301702858,0.013811849464866244,0.0056096603695123815,True,0.007452505141434228
2011-09-15,1774.0799560546875,1104.300048828125,0.014246793539784308,0.026491911792572598,0.037213666332192474,0.014920462115080468,0.051350615481189577,True,0.007452505141434228
2011-09-20,1837.969970703125,1141.699951171875,0.00935232893168525,0.02165543729026842,0.008873952705283017,-0.05563747579972966,-0.017889304725818844,True,0.007452505141434228
2011-09-22,1800.550048828125,1164.0,-0.02897619540729446,0.020783960499020537,-0.057265893546798896,-0.01736136675899147,0.05430001655581318,True,0.007452505141434228
2011-09-23,1697.43994140625,1176.0999755859375,-0.057265893546798896,0.010395168029155855,-0.02635143628804526,0.04254058199431188,0.11264615515610155,True,0.007452505141434228
