Date,kospi_close,usdkrw_close,kospi_return,usdkrw_return,forward_return_1d,forward_return_5d,forward_return_20d
2010-01-04,1696.1400146484375,1132.4000244140625,,,-0.003254459822642719,-0.0011909509320011669,-0.05288482817898721
2010-01-05,1690.6199951171875,1141.300048828125,-0.003254459822642719,0.00785943502488684,0.008695006100916336,0.004743833359603711,-0.056079980597216084
2010-01-06,1705.3199462890625,1130.4000244140625,0.008695006100916336,-0.009550533556232255,-0.012824570054891238,-0.019884780086672937,-0.052951897357627065
2010-01-07,1683.449951171875,1134.9000244140625,-0.012824570054891238,0.003980891633767136,0.007015390380645803,0.0013781629550435603,-0.03981698842897108
2010-01-08,1695.260009765625,1123.0999755859375,0.007015390380645803,-0.010397434641185477,-0.0006724718579276256,0.003857838340328712,-0.07558723376371823
2010-01-11,1694.1199951171875,1121.300048828125,-0.0006724718579276256,-0.001602641614228073,0.0026680633864646364,0.010424311282900556,-0.08342381676742516
2010-01-12,1698.6400146484375,1123.5999755859375,0.0026680633864646364,0.0020511251740478187,-0.016030459799562524,0.006817192550997442,-0.07544272082898351
2010-01-13,1671.4100341796875,1119.5,-0.016030459799562524,-0.003648963754915968,0.008591539513288948,0.025708814608268238,-0.060601550182874275
2010-01-14,1685.77001953125,1120.699951171875,0.008591539513288948,0.0010718634853730258,0.009509025021890105,0.021497588528980982,-0.0521779127154951
2010-01-15,1701.800048828125,1121.800048828125,0.009509025021890105,0.0009816165826541656,0.005864367247857549,-0.010253891609771526,-0.06354448909723776
2010-01-18,1711.780029296875,1122.300048828125,0.005864367247857549,0.0004457122287722104,-0.0009113662778218456,-0.024290549844818154,-0.0646870383890581
2010-01-19,1710.219970703125,1128.0999755859375,-0.0009113662778218456,0.005167893170697546,0.0024324556203008108,-0.04261440407157058,-0.04840892891582238
2010-01-20,1714.3800048828125,1132.199951171875,0.0024324556203008108,0.0036344080087475916,0.004450591386437663,-0.05185549537492373,-0.054357880523071445
2010-01-21,1722.010009765625,1142.0999755859375,0.004450591386437663,0.008744060096289141,-0.02186981142160327,-0.04621341084162378,-0.0743956101445653
2010-01-22,1684.3499755859375,1154.199951171875,-0.02186981142160327,0.010594497718756868,-0.008400881419634909,-0.04863592665562411,-0.03398937324773277
2010-01-25,1670.199951171875,1130.800048828125,-0.008400881419634909,-0.020273698954840325,-0.01967428230883772,-0.03817507581705326,-0.024727534406185914
2010-01-26,1637.3399658203125,1159.5999755859375,-0.01967428230883772,0.025468628859415476,-0.007243447053844165,-0.025364254274313658,-0.014969407867196027
2010-01-27,1625.47998046875,1163.800048828125,-0.007243447053844165,0.003622001837370936,0.010427734235951336,-0.006434998316302565,-0.023359236139085082
