Date,rolling_correlation
2011-01-13,0.18569102958804665
2011-01-14,0.18514453930325137
2011-01-18,0.1790167122201917
2011-01-19,0.17875754388321677
2011-01-20,0.17589428650417457
2011-01-21,0.18160037224121134
2011-01-24,0.17946063941653273
2011-01-25,0.17885565359382935
2011-01-26,0.17916988607760456
2011-01-27,0.17978767162483286
2011-01-28,0.17768042535276068
2011-01-31,0.17436254213335556
2011-02-01,0.17346847227172763
2011-02-07,0.1685414797001034
2011-02-08,0.16813083152690736
2011-02-09,0.16362202160608338
2011-02-10,0.16218166822202504
2011-02-11,0.16627075422173274
2011-02-14,0.16511541927020326
2011-02-15,0.16600976503567375
2011-02-16,0.16599933584354767
2011-02-17,0.1696982002195768
2011-02-18,0.17108845235719677
2011-02-22,0.16679159155509993
2011-02-23,0.16524071962397113
2011-02-24,0.16143596317955541
2011-02-25,0.16203595044415323
2011-02-28,0.16261867753382192
2011-03-02,0.16345963617102827
2011-03-03,0.16196296106054653
2011-03-04,0.1619256990321131
2011-03-07,0.16182558406081884
2011-03-08,0.1635458912181443
2011-03-09,0.16382900325192568
2011-03-10,0.1616893300698991
2011-03-11,0.15775551630202908
2011-03-14,0.15936543822016339
2011-03-15,0.15950855217111598
2011-03-16,0.16513354146859743
2011-03-17,0.16419736990916073
2011-03-18,0.16615272986748306
2011-03-21,0.16724018083357864
2011-03-22,0.16708733824111413
2011-03-23,0.1682227353788664
2011-03-24,0.16791172501371518
2011-03-25,0.16464303086755455
2011-03-28,0.16359838707791394
2011-03-29,0.1622966112044543
2011-03-30,0.16292540722817464
2011-03-31,0.16455818114097248
2011-04-01,0.16507951815208574
2011-04-04,0.16270403697981328
2011-04-05,0.16273342069855423
2011-04-06,0.16145698933082092
2011-04-07,0.16362406920855974
2011-04-08,0.1603482608488207
2011-04-11,0.15782972710253027
2011-04-12,0.15612608381165827
2011-04-13,0.15681795735298468
2011-04-14,0.15766633703705588
2011-04-18,0.15575140588939357
2011-04-19,0.15016864529696639
2011-04-20,0.15550340661297254
2011-04-21,0.15743499312765685
2011-04-25,0.15739083384634187
2011-04-26,0.1553721764794587
2011-04-27,0.15559720386655745
2011-04-28,0.15802396613730427
2011-04-29,0.15655812020760324
2011-05-02,0.15864568987344013
2011-05-03,0.1574881004690164
2011-05-04,0.1560986644882789
2011-05-06,0.16511098414122452
2011-05-09,0.16553248396552303
2011-05-11,0.15462833519652538
2011-05-12,0.1541471002250744
2011-05-13,0.15779688707593026
2011-05-16,0.14985485014913708
2011-05-17,0.15043206120102579
2011-05-18,0.14585922438527182
2011-05-19,0.13763159650887788
2011-05-20,0.1335572563878477
2011-05-23,0.1341256345204031
2011-05-24,0.10922731281254845
2011-05-25,0.11091558415291496
2011-05-26,0.10630408712918311
2011-05-27,0.11262064139884086
2011-05-31,0.11332101422485197
2011-06-01,0.1250795028734579
2011-06-02,0.10882589220493193
2011-06-03,0.11241149775138191
2011-06-07,0.08672539832412737
2011-06-08,0.06794251515647397
2011-06-09,0.10985268265220872
2011-06-10,0.10760971469195063
2011-06-13,0.09111345670279535
2011-06-14,0.08579384386095613
2011-06-15,0.0689017253114504
2011-06-16,0.07552874531276103
2011-06-17,0.07021095944879834
2011-06-20,0.07853796405402652
2011-06-21,0.07849968963538531
2011-06-22,0.07345544941269322
2011-06-23,0.074116603275627
2011-06-24,0.07905896119254989
2011-06-27,0.0769123572330266
2011-06-28,0.07848468265323083
2011-06-29,0.06874595704662112
2011-06-30,0.07381331901430299
2011-07-01,0.07620566742838945
2011-07-05,0.07509230015038199
2011-07-06,0.07909847793689864
2011-07-07,0.08526899528035338
2011-07-08,0.08318827883351726
2011-07-11,0.07872239744579541
2011-07-12,0.07914180105048706
2011-07-13,0.07861120332561923
2011-07-14,0.07750764763002055
2011-07-15,0.07345194971920826
2011-07-18,0.07422403395533524
2011-07-19,0.07195773361065591
2011-07-20,0.07234128541721876
2011-07-21,0.08009541367356725
2011-07-22,0.07973485916430414
2011-07-25,0.08169717434262407
2011-07-26,0.06942312135406589
2011-07-27,0.06542309807956082
2011-07-28,0.07114651761726579
2011-07-29,0.0687408599181914
2011-08-01,0.0890656906630955
2011-08-02,0.08641479030573897
2011-08-03,0.0807889356310274
2011-08-04,0.08255984161452337
2011-08-05,0.07648843941123673
2011-08-08,0.07104584109044138
2011-08-09,0.06330747433238983
2011-08-10,0.06124610904569578
2011-08-11,0.06255730210376205
2011-08-12,0.06268898671313028
2011-08-16,0.07825048185870576
2011-08-17,0.07017690669161582
2011-08-18,0.06397025793577343
2011-08-19,0.061936402961861356
2011-08-22,0.06314456382247502
2011-08-23,0.06377484272023584
2011-08-24,0.06123727919244353
2011-08-25,0.06413570879383353
2011-08-26,0.06139769031898177
2011-08-29,0.06425178398303967
2011-08-30,0.055113932410279884
2011-08-31,0.05439249840597555
2011-09-01,0.05007152440374137
2011-09-02,0.0505725884275365
2011-09-06,0.05527135482832885
2011-09-07,0.05343063917524689
2011-09-08,0.04681403131723633
2011-09-09,0.056239003683680684
2011-09-14,0.056863873594669746
2011-09-15,0.03893077636662461
2011-09-16,0.04144147126863737
2011-09-19,0.04552981938741289
2011-09-20,0.03661947567364081
2011-09-21,0.036291711355067265
2011-09-22,0.06046267437953078
2011-09-23,0.059376423642702306
2011-09-26,0.06179620551006865
2011-09-27,0.04827786966918312
2011-09-28,0.04518420024898669
2011-09-29,0.0468445149962666
2011-09-30,0.045235213031311595
2011-10-05,0.03639196170521941
2011-10-06,0.022593356929233987
2011-10-07,0.021698789191271876
2011-10-10,0.03507248989803954
2011-10-11,0.03452589280239379
2011-10-12,0.03406175318067815
2011-10-13,0.023584927743223832
2011-10-14,0.026059438095326723
