horizon,average_forward_return,median_forward_return,win_rate,sample_size,fx_spike_threshold
1d,-4.9166710954991036e-05,0.0009096499616099152,0.5409429280397022,403,0.007452505141434228
5d,0.0014363983091481448,0.0023564574063961174,0.5311720698254364,401,0.007452505141434228
20d,0.0075226888880852195,0.0056096603695123815,0.5440806045340051,397,0.007452505141434228
