Date,rolling_correlation
2011-01-04,-0.3837002864959973
2011-01-05,-0.38268673947938725
2011-01-06,-0.3812445842947581
2011-01-07,-0.3809325081438846
2011-01-10,-0.3790752831686118
2011-01-11,-0.3790134025589446
2011-01-12,-0.379254449600849
2011-01-13,-0.3799794072839327
2011-01-14,-0.37857035074574197
2011-01-17,-0.3739004389547947
2011-01-18,-0.37317547099117626
2011-01-19,-0.3733973996454131
2011-01-20,-0.37416705896688823
2011-01-21,-0.36181921616296775
2011-01-24,-0.35337133870632786
2011-01-25,-0.3636656906546168
2011-01-26,-0.35008867123442106
2011-01-27,-0.34953787065246356
2011-01-28,-0.3464747401674083
2011-01-31,-0.3487059920813737
2011-02-01,-0.3490965511978268
2011-02-07,-0.35173242527750764
2011-02-08,-0.3449400367494919
2011-02-09,-0.34571335467811487
2011-02-10,-0.33355628506942214
2011-02-11,-0.33888734206332893
2011-02-14,-0.3305756223946549
2011-02-15,-0.33040707425790555
2011-02-16,-0.3265906912502423
2011-02-17,-0.3247120842905405
2011-02-18,-0.3228053286281921
2011-02-21,-0.3246770116738181
2011-02-22,-0.32810015236676904
2011-02-23,-0.335750899508554
2011-02-24,-0.33982592770127057
2011-02-25,-0.3389818240208609
2011-02-28,-0.33623138303308775
2011-03-02,-0.33637413310592146
2011-03-03,-0.33548378501029713
2011-03-04,-0.3316334451871215
2011-03-07,-0.3306199916484579
2011-03-08,-0.3295746575620363
2011-03-09,-0.32862129124251244
2011-03-10,-0.3263303270126897
2011-03-11,-0.3291496811952828
2011-03-14,-0.3301279412623879
2011-03-15,-0.33120598804287643
2011-03-16,-0.3220880469717492
2011-03-17,-0.32118739224464704
2011-03-18,-0.32273721884060413
2011-03-21,-0.3255180843892078
2011-03-22,-0.3263475180663076
2011-03-23,-0.327490038571027
2011-03-24,-0.32614257028341376
2011-03-25,-0.3284182023588321
2011-03-28,-0.3284216652135426
2011-03-29,-0.3292211137253864
2011-03-30,-0.32867823316536077
2011-03-31,-0.33091302633626957
2011-04-01,-0.3301512459505092
2011-04-04,-0.32734710103019826
2011-04-05,-0.32479988642731217
2011-04-06,-0.3255549566327203
2011-04-07,-0.3289507186265828
2011-04-08,-0.32911722470726124
2011-04-11,-0.3276441309200368
2011-04-12,-0.3301880582015034
2011-04-13,-0.3293245879445159
2011-04-14,-0.3301670213691985
2011-04-18,-0.33028575961304785
2011-04-19,-0.32751692138481636
2011-04-20,-0.32788738014351104
2011-04-21,-0.3295396337184906
2011-04-22,-0.3276714013513775
2011-04-25,-0.3282598993237142
2011-04-26,-0.32348888050107755
2011-04-27,-0.32296229897645023
2011-04-28,-0.32290285206277614
2011-04-29,-0.3203257347366311
2011-05-02,-0.3178756677151849
2011-05-03,-0.3177487289458435
2011-05-04,-0.3190638266522767
2011-05-06,-0.3222921901506548
2011-05-09,-0.3213416890573269
2011-05-11,-0.32629807117563014
2011-05-12,-0.31219908348499287
2011-05-13,-0.3112033148900615
2011-05-16,-0.3070967051404403
2011-05-17,-0.3069391790157144
2011-05-18,-0.3182942524889134
2011-05-19,-0.3169988910712389
2011-05-20,-0.32063085950716086
2011-05-23,-0.33713996408278324
2011-05-24,-0.3357284545829811
2011-05-25,-0.356067897628364
2011-05-26,-0.3183686532283413
2011-05-27,-0.32005429916137684
2011-05-30,-0.28090569508449204
2011-05-31,-0.2910115787006823
2011-06-01,-0.27896714423154456
2011-06-02,-0.27885834391060116
2011-06-03,-0.27777775374231
2011-06-07,-0.2752071107418053
2011-06-08,-0.26464632152483397
2011-06-09,-0.2641202376393172
2011-06-10,-0.2496599206037579
2011-06-13,-0.2486372178932862
2011-06-14,-0.23953734376071686
2011-06-15,-0.23881545876265978
2011-06-16,-0.2351206889016179
2011-06-17,-0.23243581622124296
2011-06-20,-0.2322839951852959
2011-06-21,-0.23046037803715982
2011-06-22,-0.23081676064165882
2011-06-23,-0.230780724278002
2011-06-24,-0.22210016584946457
2011-06-27,-0.22275389909553478
2011-06-28,-0.22478626357054363
2011-06-29,-0.2295681297989367
2011-06-30,-0.22637712360307818
2011-07-01,-0.22601712638779048
2011-07-04,-0.22251726710980538
2011-07-05,-0.2205175349231357
2011-07-06,-0.22034432886216673
2011-07-07,-0.21846888303876924
2011-07-08,-0.21811625716785957
2011-07-11,-0.2170108088426802
2011-07-12,-0.21299960994493272
2011-07-13,-0.2017320172431541
2011-07-14,-0.1960318259032594
2011-07-15,-0.19457569425407126
2011-07-18,-0.1956300633477296
2011-07-19,-0.18227916567461025
2011-07-20,-0.17806039661467635
2011-07-21,-0.17371163314534233
2011-07-22,-0.169356328196392
2011-07-25,-0.1577728676054353
2011-07-26,-0.14805574975128558
2011-07-27,-0.150191548631795
2011-07-28,-0.14801306166552736
2011-07-29,-0.1451276376260389
2011-08-01,-0.13863635669572233
2011-08-02,-0.12763345006471552
2011-08-03,-0.13843470657697557
2011-08-04,-0.13796599360178832
2011-08-05,-0.14755113382295096
2011-08-08,-0.12510877077493676
2011-08-09,-0.1681787261771837
2011-08-10,-0.16940279694423754
2011-08-11,-0.16705390097099126
2011-08-12,-0.16245694727870738
2011-08-16,-0.20858663521048376
2011-08-17,-0.20113795545384675
2011-08-18,-0.1831445346552685
2011-08-19,-0.1935472302221314
2011-08-22,-0.20204913165653404
2011-08-23,-0.20554175527696275
2011-08-24,-0.20035926691914022
2011-08-25,-0.19874540224376902
2011-08-26,-0.19670618294154193
2011-08-29,-0.20461444331487452
2011-08-30,-0.2050789669561112
2011-08-31,-0.19937551170200898
2011-09-01,-0.1992184094600184
2011-09-02,-0.19841003082839515
2011-09-05,-0.20601973845942287
2011-09-06,-0.20821194565109716
