won_specific_pressure_quantile,won_specific_fx_pressure_min,won_specific_fx_pressure_max,won_specific_fx_pressure_mean,won_specific_fx_pressure_median,kospi_return_mean,kospi_return_median,sample_size,kospi_positive_rate
Q1,-0.04125347823502812,-0.005682059623610236,-0.011025319218072973,-0.009226076083410917,0.002550059258506065,0.0021086415267096426,782,0.5959079283887468
Q2,-0.005680451559578192,-0.0017060534542310268,-0.003529567796587012,-0.0034090492340541623,0.0011469413715668028,0.0014853873456450728,781,0.5736235595390525
Q3,-0.0017043519600130619,0.0016288286933427987,-3.5272770012968715e-05,-7.18144879017224e-05,0.0006409832983476457,0.0007068714276194932,781,0.5403329065300896
Q4,0.0016318163108582917,0.005769118433638698,0.003602275727827063,0.0034988998557603512,-0.0003814142687866785,-0.00022356200610162968,781,0.4801536491677337
Q5,0.005770627716609633,0.06463095441299194,0.011396099958411562,0.009324041339416445,-0.0018083093251007798,-0.00064542527305822,781,0.4673495518565941
