fx_quantile,usdkrw_return_min,usdkrw_return_max,usdkrw_return_mean,usdkrw_return_median,kospi_return_mean,kospi_return_median,sample_size,kospi_positive_rate
Q1,-0.04203885240124494,-0.00433784040365337,-0.00927150530576183,-0.007324942607767504,0.0037379465144554936,0.002650661584651215,806,0.6339950372208437
Q2,-0.004336943217385092,-0.0011903374256065913,-0.0026730833626470458,-0.002629455983257256,0.001616507606434299,0.0015803470467312675,806,0.5831265508684863
Q3,-0.0011796136351364117,0.001337352299242589,9.474017752530143e-05,7.859174022772919e-05,0.0004107370573791077,0.0005649782868860642,806,0.5471464019851117
Q4,0.001338462901571802,0.004627364013107815,0.0028456857033996373,0.002824950956705985,-0.00012089450741405771,2.0085411989723134e-05,806,0.5
Q5,0.004632711021262503,0.05513911854521125,0.00950697329309834,0.007458781960114957,-0.0033384603468044473,-0.0018480071051186764,806,0.40694789081885857
